name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;534;0;743;3081;1043;3081;1043;0
header;252;142;252;180;1883;180;1883;142
A;551;131;551;133;553;133;553;131
A;1031;215;1031;220;1040;220;1040;215
A;984;256;984;261;989;261;989;256
A;984;268;984;273;989;273;989;268
B;916;575;916;591;925;591;925;575
D;920;1117;920;1135;936;1135;936;1117
B;1034;1392;1034;1406;1043;1406;1043;1392
A;702;1527;702;1543;710;1543;710;1527
B;1031;1527;1031;1544;1044;1544;1044;1527
B;861;1528;861;1543;869;1543;869;1528
A;1005;1528;1005;1543;1013;1543;1013;1528
B;952;2800;952;2827;960;2827;960;2800
